codigo,univComp
020080703,6
020080704,3
020080705,3
020080706,0
020080707,2
020080708,3
020080709,7
020080710,4
020080711,11
020080712,6
020080713,9
020080714,7
020080801,12
020080802,32
020080803,30
020080804,40
020080805,21
020080806,39
020080807,43
020080808,25
020080809,15
020080810,19
020080811,23
020080901,14
020080902,18
020080903,29
020080904,13
020080905,61
020080906,8
020080907,27
020080908,20
020080909,25
020081001,15
020081002,13
020081003,13
020081004,51
020081005,26
020081006,32
020081007,24
020081008,13
020081101,46
020081102,35
020081103,51
020081104,33
020081105,19
020081201,28
020081202,30
020081203,17
020081204,14
020081205,44
020081206,23
020081207,23
020081301,0
020081302,2
020081303,4
020081304,17
020081305,10
020081306,11
020081307,7
020081308,8
020081401,3
020081402,6
020081403,6
020081404,5
020081405,11
020081406,4
020081407,10
020081408,12
020081409,4
020081410,6
020081501,6
020081502,2
020081503,5
020081504,0
020081505,6
020081506,2
020081507,2
020081508,3
020081509,10
020081510,9
020081601,5
020081602,3
020081603,3
020081604,4
020081605,3
020081606,9
020081607,3
020081608,6
020081609,5
020081610,7
020081701,19
020081702,18
020081703,17
020081704,32
020081705,20
020090101,20
020090102,21
020090103,39
020090104,29
020090105,29
020090106,27
020090107,34
020090108,24
020090109,43
020090201,49
020090202,41
020090203,54
020090204,56
020090205,63
020090206,31
020090207,43
020090208,37
020090209,45
020090210,40
020090211,56
020090212,28
020090301,29
020090302,35
020090303,48
020090304,51
020090305,41
020090306,46
020090307,75
020090308,39
020090309,36
020090310,44
020090311,42
020090312,32
020090313,28
020090401,38
020090402,34
020090403,41
020090404,42
020090405,37
020090406,24
020090407,23
020090408,25
020090409,35
020090410,42
020090411,44
020090501,31
020090502,49
020090503,26
020090504,28
020090505,51
020090506,34
020090507,41
020090508,38
020090509,54
020090510,39
020090511,36
020090601,44
020090602,28
020090603,38
020090604,33
020090605,49
020090606,23
020090607,53
020090608,27
020090609,70
020090610,36
020090611,26
020090612,26
020090701,34
020090702,35
020090703,21
020090704,34
020090705,33
020090706,32
020090707,37
020090708,37
020090709,32
020090710,18
020090711,25
020090712,34
020090713,33
020090714,29
020090801,29
020090802,24
020090803,45
020090804,36
020090805,26
020090806,31
020090807,13
020090808,32
020090809,10
020090810,25
020090811,17
020090812,21
020090813,13
020090901,28
020090902,14
020090903,55
020090904,6
020090905,9
020090906,29
020090907,41
020090908,17
020090909,17
020090910,19
020090911,11
020090912,21
020090913,16
020090914,26
020091001,44
020091002,33
020091003,30
020091004,31
020091005,39
020091006,35
020091007,30
020091008,56
020091009,21
020091010,44
020091011,24
020091012,21
020091101,64
020091102,52
020091103,36
020091104,59
020091105,73
020091106,41
020091107,40
020091108,40
020091109,34
020091110,21
020091111,39
020091112,42
020091201,42
020091202,21
020091203,24
020091204,29
020091205,23
020091206,24
020091207,33
020091208,30
020091209,30
020091210,30
020091211,17
020091212,21
020091301,33
020091302,34
020091303,30
020091304,22
020091305,22
020091306,17
020091307,15
020091401,30
020091402,24
020091403,14
020091404,3
020091405,3
020091406,7
020091407,3
020091408,3
020091409,6
020091410,10
020091501,12
020091502,5
020091503,8
020091504,19
020091505,22
020091506,28
020091507,12
020091508,21
020091509,12
020091510,12
020091511,17
020091601,15
020091602,22
020091603,9
020091604,11
020091605,9
020091606,16
020091607,15
020091608,13
020091609,21
020091610,12
020091611,6
020091612,12
020091613,10
020100101,38
020100102,49
020100103,48
020100104,47
020100105,28
020100106,41
020100107,49
020100108,49
020100201,52
020100202,46
020100203,28
020100204,49
020100205,55
020100206,82
020100207,39
020100208,59
020100301,39
020100302,49
020100303,78
020100304,48
020100305,43
020100306,44
020100307,49
020100308,46
020100401,80
020100402,94
020100403,57
020100404,58
020100405,54
020100406,54
020100407,41
020100408,40
020100409,53
020100501,20
020100502,36
020100503,52
020100504,32
020100505,51
020100506,29
020100507,38
020100508,45
020100509,32
020100510,40
020100511,39
020100512,30
